"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Type"
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","45/1346","109/8859",0.412844036697248,2.71722535000068,7.63519594403227,3.48008208081485e-11,1.43929320626293e-10,4.25117239241841e-11,"3569/3458/6774/7040/2475/3091/3553/6772/4790/5594/3558/3565/3725/50943/5970/3717/4792/3605/3716/5914/3320/5595/1432/4087/4088/5599/6256/2353/920/3551/6777/5602/3718/196/1147/6776/4772/6257/3326/3932/5601/6095/6258/5588/6097",45,"XYT"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","61/1346","173/8859",0.352601156069364,2.32072335930052,7.42520881727724,3.68487645990327e-11,1.50377147453166e-10,4.44161880930012e-11,"5290/7124/207/3569/355/3458/356/3553/1019/8743/5604/6772/841/4790/5594/5894/3576/581/836/5295/8795/3383/5970/1387/3552/3717/6347/4792/3716/1021/5595/7099/3627/5605/5293/60/5578/842/3456/4615/5291/3551/54205/7514/114548/9021/90865/1147/578/6041/834/5340/5579/29110/5644/51284/317/5610/1965/7416/71",61,"XYT"
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","42/1346","98/8859",0.428571428571429,2.82073869666737,7.67127397632089,3.72576216077994e-11,1.50377147453166e-10,4.44161880930012e-11,"5443/1385/5578/3949/4878/5579/4929/1386/5581/183/476/468/1583/3762/185/3284/3283/1585/8912/3708/818/779/776/3710/775/801/478/808/805/5138/4881/482/107/481/480/814/815/3709/477/483/816/8911",42,"XYT"
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","63/1346","182/8859",0.346153846153846,2.27828894730826,7.37502679586214,4.33138076423423e-11,1.72739590002198e-10,5.10212771726839e-11,"7124/207/3569/3458/596/7040/3586/3553/6714/6772/841/4790/5594/5894/581/836/5970/1387/3552/3717/3716/5595/7099/1432/1385/4843/7097/5599/7421/842/3456/4615/7042/843/54205/6850/5602/1509/64127/718/54106/3689/1594/572/3329/8877/5601/1051/317/3654/929/1520/3916/818/1378/801/808/805/7096/10333/815/8411/816",63,"XYT"
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","42/1346","99/8859",0.424242424242424,2.79224638660003,7.59009009746057,5.53654484174746e-11,2.18205002586517e-10,6.4450181439537e-11,"5290/3553/6714/3479/5295/1432/5599/5580/5293/5578/5291/4803/5602/3827/5579/5601/5581/59341/3358/5588/239/2150/7442/3356/5321/3708/818/3710/624/801/808/805/107/815/3269/5501/162514/3709/51393/623/9311/816",42,"XYT"
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","48/1346","122/8859",0.39344262295082,2.58953060677661,7.48257908607153,5.94355698955928e-11,2.3152227808167e-10,6.83836422299354e-11,"5290/207/6794/595/5468/2475/3479/3480/5295/3630/3952/3643/1385/9370/5293/6198/23411/5291/1080/948/2194/3172/890/3953/10891/3156/1994/6720/6517/5562/5563/5515/31/5106/5105/1374/6319/5209/5564/51422/2203/5213/5516/1375/5571/200186/32/5565",48,"XYT"
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","56/1346","155/8859",0.361290322580645,2.37791305181422,7.32507195669617,7.99618317279244e-11,3.07899007228215e-10,9.09426761333926e-11,"1029/1499/1956/1027/5925/595/1026/1030/1019/5604/5594/5443/1021/2932/5595/8313/1385/1017/898/5605/1586/1869/8312/6667/1392/50940/7474/3949/8622/51176/196/6934/7471/1386/1584/1870/183/468/1583/185/3284/3283/8912/3708/818/779/776/3710/775/107/815/3709/5151/3776/816/8911",56,"XYT"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","103/1346","368/8859",0.279891304347826,1.84216721041411,6.9843579771763,9.48129621694253e-11,3.59578203824527e-10,1.06206916447779e-10,"7068/796/3952/5443/2908/1906/1392/2147/4852/3953/718/5340/885/1909/2740/154/706/3827/5737/2641/1813/5644/183/3375/2149/2903/2892/135/2561/3358/185/2859/6869/6863/2150/5021/7442/57105/155/2904/3356/1268/4988/3350/5027/5724/2911/2890/2550/1815/2902/554/140/2563/153/624/3274/186/1139/1269/2556/1131/134/5729/2917/116443/2901/136/4828/147/1812/727/3269/1136/3351/2906/2898/56923/1814/2891/2900/6870/152/3352/55584/623/3362/4986/116444/2914/2558/4987/134864/3360/5025/146/151/2893/10888/89832/3354/55879/2560",103,"XYT"
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","40/1346","93/8859",0.43010752688172,2.8308488712074,7.51236898866161,9.55297317623371e-11,3.59578203824527e-10,1.06206916447779e-10,"3845/1956/6714/5604/5594/5894/4313/3725/5595/1432/5605/5599/5580/5578/5602/1958/6416/2185/5579/5601/468/2002/5598/5321/3708/818/779/5338/5609/776/3710/775/801/808/805/5337/107/815/3709/816",40,"XYT"
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","54/1346","148/8859",0.364864864864865,2.40143970121682,7.27704299266003,1.13682652787251e-10,4.23152096485877e-10,1.24984436982474e-10,"7157/5728/5290/3815/3845/207/672/1499/1956/2064/5925/595/2099/4609/1026/2260/2475/1019/5604/5594/3479/5894/2100/3480/1950/581/5295/4851/3725/8600/2247/5241/1021/2932/5595/8313/2324/5605/5293/1869/8074/6198/2353/8648/8312/5291/6667/8202/7474/51176/578/6934/7471/1870",54,"XYT"
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","29/1346","56/8859",0.517857142857143,3.40839259180641,7.65225825813737,1.58969089358685e-10,5.85215878408345e-10,1.72852451124539e-10,"7124/3569/3553/841/4790/3576/836/5970/4792/7099/7097/842/4615/54205/2919/718/834/7415/3689/840/3329/317/1915/929/3297/2920/1378/1917/375",29,"XYT"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","34/1346","73/8859",0.465753424657534,3.06546031875267,7.50008801410256,1.78931854437742e-10,6.51545339528735e-10,1.92443870905581e-10,"2950/2944/2952/1576/1565/4129/4128/1548/54658/1544/1571/1559/1557/1555/1577/2947/1558/128/54578/2938/218/54600/126/7364/54659/2946/54657/4257/316/373156/125/2939/1564/653689",34,"XYT"
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","55/1346","154/8859",0.357142857142857,2.35061558055615,7.15634717987362,1.96319729592347e-10,7.07173219499313e-10,2.08874415185972e-10,"207/596/5594/5294/5595/1432/1385/5578/70/154/1386/183/476/468/5515/185/6548/818/779/776/153/186/775/801/6331/478/808/7137/805/5516/482/107/487/481/147/480/815/5501/486/55799/9254/6330/477/783/483/785/6324/3776/816/6546/6543/146/784/782/93589",55,"XYT"
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","43/1346","107/8859",0.401869158878505,2.64499173737346,7.24578809323414,2.68150397326019e-10,9.55642373449110e-10,2.82263576132651e-10,"207/5315/1387/6513/1385/23411/5465/10891/3939/2641/2645/6514/5562/1386/468/5563/31/5837/5106/5105/1374/5836/3945/3708/818/5564/51422/3710/2203/801/808/805/5213/815/1375/5223/3709/5140/5571/200186/32/816/5565",43,"XYT"
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","22/1346","36/8859",0.611111111111111,4.02216443784052,7.6903282101252,3.74382965160211e-10,1.32019256135443e-09,3.89939044044984e-10,"7173/1312/7299/7054/4282/4129/4128/7306/2806/1621/1644/5409/1638/6898/128/218/8639/126/2805/316/125/2954",22,"XYT"
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","30/1346","61/8859",0.491803278688525,3.23691325847076,7.4200316169816,4.00253275076757e-10,1.39671715781993e-09,4.12541752820342e-10,"7421/7018/3162/476/2495/540/4502/2512/6523/4495/1181/478/4489/4493/482/481/6550/54822/4891/4494/480/486/65010/477/475/483/4501/4496/6546/6543",30,"XYT"
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","32/1346","68/8859",0.470588235294118,3.09728170614457,7.34811185255051,4.42165752450746e-10,1.52706728939175e-09,4.51042655782638e-10,"9249/1576/1543/216/1548/54658/1544/220/1559/1555/1577/1558/9227/128/54578/8694/51109/8854/54600/340665/126/7364/54659/54657/1592/316/54884/29785/5959/125/10901/56603",32,"XYT"
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","66/1346","205/8859",0.321951219512195,2.11899394774037,6.86088115005432,5.23769961548648e-10,1.79043813386528e-09,5.28833258706476e-10,"7157/5290/3845/1029/4193/1027/5925/595/1026/6774/1030/1019/6714/841/4790/5594/581/836/5295/3725/5315/5970/1387/4792/3716/1021/5595/1385/1017/7186/894/898/5293/3065/5879/4067/9734/5291/3106/6850/6777/983/3718/890/9759/3066/8841/6776/578/718/10013/572/7874/7531/1386/468/5610/5423/1233/7534/2934/10014/51564/83933/55869/79885",66,"XYT"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","35/1346","79/8859",0.443037974683544,2.9159535049937,7.23993933072019,5.34746370188442e-10,1.8094952930619e-09,5.34462081847034e-10,"2950/2944/2952/1576/1545/1565/1543/1548/54658/1544/1571/1559/3290/6822/1555/1577/2947/128/54578/2938/218/54600/873/126/7364/54659/2946/54657/4257/29785/373156/125/2939/1564/653689",35,"XYT"
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","34/1346","76/8859",0.447368421052632,2.94445530617033,7.20554763323751,6.87059399363279e-10,2.30164898786698e-09,6.79827195159455e-10,"60/5578/1080/3766/4638/5579/476/6548/760/3708/818/71/3710/3274/801/3759/478/1131/808/805/482/107/3758/481/480/815/3709/477/483/3776/816/9992/85366/3772",34,"XYT"
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","32/1346","69/8859",0.463768115942029,3.05239356547581,7.24393301544762,7.05881493947754e-10,2.31833627914213e-09,6.84756041600504e-10,"5290/3845/7124/207/5604/5594/5894/3565/5295/5595/1432/1437/695/5605/5599/5293/5578/5879/4067/3596/5291/6850/3567/5602/3562/6416/240/5601/2534/5321/5609/241",32,"XYT"
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","32/1346","69/8859",0.463768115942029,3.05239356547581,7.24393301544762,7.05881493947754e-10,2.31833627914213e-09,6.84756041600504e-10,"1385/1508/1906/1636/5972/1909/154/4878/183/185/155/358/3708/779/776/153/3710/5139/775/801/3759/3778/808/805/134/4881/5137/3709/5140/5136/5153/2977",32,"XYT"
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","44/1346","115/8859",0.382608695652174,2.51822469151754,6.93607162900962,1.07527327782748e-09,3.49724803953597e-09,1.03296564247095e-09,"1956/1026/2260/596/5604/5594/5894/8600/846/5595/1385/7421/6256/5578/8074/2353/632/6667/860/4322/1958/6257/1594/6559/5144/5579/5141/6446/4929/1386/3727/468/409/6258/50964/3708/5338/3710/5337/64386/107/5143/5142/3709",44,"XYT"
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","88/1346","312/8859",0.282051282051282,1.85638358669562,6.51812153022226,1.547627840593e-09,4.98514737114092e-09,1.47243944347917e-09,"7157/5728/472/5290/3845/5156/672/1029/1956/4193/2064/1027/4233/595/4609/1026/406991/6774/596/2261/2475/7422/5604/4790/5594/5894/2065/4318/406937/407029/5159/836/2146/7431/5295/4851/5743/406913/1387/11186/1021/1786/5595/5243/4363/894/898/5605/406986/6935/5293/3065/5578/4170/1869/7057/5328/23411/25/5291/7042/3551/10018/406989/9759/3066/1545/3162/3690/578/9839/442902/5292/993/995/5579/407024/5154/5581/1870/659/5598/599/2744/1398/27165/10014/6541",88,"XYT"
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","32/1346","71/8859",0.450704225352113,2.96641064813846,7.04112478345139,1.73486003458958e-09,5.53502963416676e-09,1.63485557144281e-09,"5743/2950/2944/2952/1576/1545/1543/6817/1548/54658/1544/1571/1559/3290/1557/6822/1577/2947/1558/54578/2938/54600/873/1646/7364/54659/2946/54657/4257/373156/2939/653689",32,"XYT"
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","33/1346","75/8859",0.44,2.89595839524517,6.97906020232654,2.07234664993658e-09,6.54939743140334e-09,1.93446459874914e-09,"7157/5728/11200/472/1029/4193/595/355/1026/596/1019/841/3479/7161/581/836/8795/1021/598/545/1017/894/898/3486/5054/842/7057/54205/983/891/317/2810/10572",33,"XYT"
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","19/1346","30/8859",0.633333333333333,4.1684249628529,7.35752876556145,2.5597729541791e-09,8.0142424266355e-09,2.36712894926547e-09,"7124/3569/3553/4790/5970/4363/7298/3551/1719/9429/1147/6470/10257/1244/239/8714/8836/10057/6472",19,"XYT"
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","45/1346","122/8859",0.368852459016393,2.42768494385307,6.72070450032897,2.73738960209944e-09,8.49097700651214e-09,2.50793979139715e-09,"5290/3845/7124/207/3458/3586/1019/5604/4790/5594/5894/5781/3558/3565/5295/3725/5970/4792/959/2932/5595/5788/1432/1437/5605/5599/5293/2353/5291/920/3551/3567/5602/1147/4772/3932/9020/5777/5601/2534/5515/5588/5609/5516/9402",45,"XYT"
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","36/1346","87/8859",0.413793103448276,2.72347184505815,6.8375132572445,2.99006708314787e-09,9.18965571426181e-09,2.71430522275133e-09,"70/476/9377/6548/779/776/775/478/7137/845/482/444/487/481/1327/480/486/55799/9254/477/783/483/7384/1340/785/1329/1345/6546/6543/784/1346/1351/782/93589/1350/1349",36,"XYT"
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","33/1346","76/8859",0.434210526315789,2.85785367951826,6.88462889369273,3.13547407479518e-09,9.54894377323988e-09,2.82042644048562e-09,"5468/9370/4312/6256/948/5465/335/7350/5467/6257/4023/6258/2167/5106/1593/5105/1374/6319/10062/345/2169/123/2171/2170/336/1376/2182/9415/4973/1375/2710/2180/2172",33,"XYT"
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","71/1346","238/8859",0.298319327731092,1.96345536728807,6.37712500213244,4.79764288036502e-09,1.44793726569575e-08,4.27670394266773e-09,"5290/3815/3845/207/5156/1956/4233/2260/2261/356/7422/5604/2263/4790/5594/3479/5894/5781/3480/3791/1950/5159/5295/3630/3082/5970/11186/2247/627/598/3643/5595/4915/2321/2324/5605/5599/5293/5578/8074/5879/2322/2264/25/5291/7039/3551/1969/4803/5602/1147/6789/5228/572/5320/5579/29110/5601/5154/2903/2002/2904/5321/5338/2902/801/808/805/5337/382/5319",71,"XYT"
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","42/1346","112/8859",0.375,2.46814635958395,6.6180870326276,5.22081231936527e-09,1.56158225623872e-08,4.61237178590541e-09,"7124/207/3458/6774/596/7040/3586/6772/841/4790/5594/836/5294/5970/3717/4792/3716/598/959/5595/7099/1432/4843/7097/5599/842/330/331/4615/7042/3551/54205/5602/329/3949/1147/572/240/5601/3654/23643/10105",42,"XYT"
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","60/1346","189/8859",0.317460317460317,2.08943607160546,6.40776797627231,5.897493638296e-09,1.74837200781342e-08,5.16408385654238e-09,"7124/3569/596/3553/6772/841/4790/5594/3576/3725/5970/846/6347/4792/3716/598/3320/5595/7099/1432/7186/5599/1508/5580/3456/330/331/4615/3551/5602/114548/329/64127/1147/2919/6041/834/7295/3326/7531/1536/29110/5601/10628/1535/5585/5027/9474/3708/7416/2920/81631/118429/3710/79184/54822/3709/90550/9140/51393",60,"XYT"
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","63/1346","203/8859",0.310344827586207,2.04260388379362,6.36051684244865,6.64379681472719e-09,1.95234380081896e-08,5.76654571176691e-09,"5728/5290/207/5156/1499/1956/2064/4233/595/596/7422/6714/5604/5594/3479/5894/3480/3791/1950/5159/5295/3725/3082/2335/2932/5747/5595/6696/857/2321/894/1277/2324/5599/5293/60/5578/7057/330/331/5879/5291/5602/329/7450/3685/3690/7448/4638/5228/572/5579/5601/5154/2534/2002/3676/859/1398/71/3693/5501/85366",63,"XYT"
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","40/1346","105/8859",0.380952380952381,2.50732328592655,6.57629763051658,7.13324276152748e-09,2.07794463053192e-08,6.13752695271014e-09,"472/7124/596/3553/4790/3576/5743/4049/8600/3383/5970/4792/10673/598/959/7099/695/142/7186/330/331/7412/4615/4067/5328/3551/6850/329/1147/2919/3932/5579/9020/3654/929/1457/5588/1459/2920/23643",40,"XYT"
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","36/1346","90/8859",0.4,2.63268945022288,6.58921198524175,8.87968357989334e-09,2.56439137867609e-08,7.57432174691446e-09,"7157/5290/3845/207/6794/5468/2475/4790/3479/3480/581/5295/3630/5970/3643/1385/9370/5293/6648/6198/23411/5291/10891/847/1977/5562/1386/468/5563/9474/5564/51422/107/814/5571/5565",36,"XYT"
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","44/1346","122/8859",0.360655737704918,2.37373638954522,6.46674630508145,9.15186876732569e-09,2.62040686927701e-08,7.73977205693761e-09,"5290/3845/207/6774/2475/5604/6772/5594/3479/5894/5295/1387/3717/2932/5747/5595/1432/1385/5605/5599/3486/5293/5578/2353/5291/6777/5602/9021/6416/6776/5579/5601/1386/468/3708/1398/3726/779/776/3710/775/107/3709/3483",44,"XYT"
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","19/1346","32/8859",0.59375,3.90789840267459,6.9747930842575,1.19817515554406e-08,3.40159895853611e-08,1.00471422498789e-08,"596/841/581/836/332/598/5599/842/330/331/54205/5602/10018/329/578/8678/840/5601/317",19,"XYT"
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","38/1346","99/8859",0.383838383838384,2.52631815930479,6.46389493829059,1.3298349921517e-08,3.74365312916655e-08,1.10574515048438e-08,"7124/3569/7040/3479/60/1906/70/7042/1636/3685/3690/5562/183/5563/3676/4842/859/5564/1605/779/71/51422/776/775/7137/3693/487/55799/9254/5571/783/785/5565/6546/6543/784/782/93589",38,"XYT"
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","60/1346","193/8859",0.310880829015544,2.04613169706442,6.21926907379556,1.42058737079153e-08,3.96580641012635e-08,1.1713615162667e-08,"7157/472/4193/1027/4233/3569/4609/1026/5468/4790/3479/3576/3480/4318/581/4149/5970/5914/598/4286/5747/1437/2321/894/3486/6935/3065/6256/2078/330/5328/2322/4353/5327/6667/4314/860/2521/3562/942/329/890/1991/1649/3066/1050/3728/578/3002/6257/5154/1051/2892/6258/929/1025/26471/7704/3206/4086",60,"XYT"
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","64/1346","212/8859",0.30188679245283,1.98693543413048,6.15612764640761,1.67661556324358e-08,4.64186953459999e-08,1.37104708955978e-08,"5290/3815/3845/207/5156/999/1499/1956/4233/2260/2261/7422/6714/5604/2263/5594/3479/5894/3480/3791/1950/5159/5295/3630/3082/2247/3643/5595/1432/2321/2324/5605/5293/60/5578/7057/8074/5879/2264/5291/1969/4803/3690/3689/5228/3683/5579/1813/5154/5590/2149/2903/135/2904/1268/1398/2902/71/5584/801/808/805/107/136",64,"XYT"
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","52/1346","159/8859",0.327044025157233,2.15251338697468,6.20681195516718,2.01542119394689e-08,5.53414836042792e-08,1.63459527377918e-08,"7124/355/3458/6774/596/356/3553/8743/6772/841/581/8795/3552/3717/3716/3320/7099/142/7186/5599/3456/330/331/3146/6777/5602/3718/114548/329/90865/6776/834/6609/3326/6775/1536/5601/2752/5610/5837/2495/2746/5836/5321/818/7416/2512/246/5478/54822/815/816",52,"XYT"
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","24/1346","49/8859",0.489795918367347,3.22370136761986,6.60648148927624,2.54108020362407e-08,6.9208281968623e-08,2.04417235036938e-08,"4790/3725/5970/627/1385/7054/4129/4128/1813/1020/1386/6531/468/2903/6571/1644/2904/1742/2902/116443/1812/2906/2891/116444",24,"XYT"
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","43/1346","122/8859",0.352459016393443,2.31978783523738,6.21278810983393,2.95374707774107e-08,7.97988121809081e-08,2.3569798413214e-08,"7157/5728/5290/3845/7124/207/596/5604/4790/5594/5894/581/5295/5970/5595/1432/7186/4363/5605/5599/5293/5578/5879/5291/5602/1509/4846/6609/3827/4217/5579/8877/5601/5590/5581/2534/5515/5338/140/624/5337/134/5516",43,"XYT"
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","34/1346","86/8859",0.395348837209302,2.60207678219703,6.31890987205147,3.24866642931006e-08,8.70642603055095e-08,2.57157595246438e-08,"3630/6513/1385/5578/885/2740/2641/5579/2645/6514/1386/3651/3767/476/468/3782/818/779/776/3710/775/3783/3778/478/1131/482/107/481/480/815/486/477/483/816",34,"XYT"
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","31/1346","75/8859",0.413333333333333,2.72044576523031,6.3329947537311,3.85405234562498e-08,1.02468852046378e-07,3.02657410600458e-08,"5315/2597/2023/2875/7086/6470/4548/2752/2806/84706/384/226/383/445/7167/5313/95/1431/29968/229/440/5213/5832/586/6472/5009/435/5223/2805/5053/587",31,"XYT"
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","20/1346","37/8859",0.540540540540541,3.55768844624714,6.59855210575901,4.43806581461047e-08,1.16152503741758e-07,3.43074166589954e-08,"2875/2346/2572/2752/2806/2746/84706/443/2571/2744/445/790/27165/440/7915/435/2805/80150/18/8528",20,"XYT"
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","20/1346","37/8859",0.540540540540541,3.55768844624714,6.59855210575901,4.43806581461047e-08,1.16152503741758e-07,3.43074166589954e-08,"7157/5979/3845/999/1499/595/4609/1026/5468/5604/5594/581/5595/5605/6256/51176/578/6934/6257/6258",20,"XYT"
NA,NA,"hsa04981","Folate transport and metabolism","18/1346","31/8859",0.580645161290323,3.82164597612999,6.66094551615152,4.76094387304668e-08,1.23636914532608e-07,3.65180517394034e-08,"4363/7298/1719/9429/6470/2346/10257/4548/10599/1244/8714/11309/28234/10057/6472/9356/9376/635",18,"XYT"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","68/1346","238/8859",0.285714285714286,1.88049246444492,5.82799234904463,6.76884596168507e-08,1.74427953628038e-07,5.15199611658621e-08,"5290/7124/1956/3569/6774/3553/6772/4790/5594/3576/3558/5295/3725/5970/6347/4792/3716/5595/7099/1432/1437/7097/3627/1440/5599/5293/6868/4312/5578/3456/4615/2353/5291/1636/3551/4314/6850/5602/114548/2147/7450/8829/1147/718/834/6403/59272/5579/1536/29110/51284/5601/716/5610/3654/185/629/720/51311/713/717/714/2243/727/721/2244/715/100293534",68,"XYT"
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","44/1346","130/8859",0.338461538461538,2.22766030403475,5.96830922319766,8.05020544596106e-08,2.05864032396714e-07,6.0805087337914e-08,"5290/3845/207/1956/7040/7422/6714/5604/4790/5594/5894/4318/4313/5295/3725/5970/4792/5595/1432/1385/4843/1277/5605/4087/5599/5293/1906/4312/5578/2353/5291/5602/4322/6416/4846/59/5601/1386/5590/468/409/4842/5609/107",44,"XYT"
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","36/1346","97/8859",0.371134020618557,2.44270155175319,6.04706191247616,8.80333865242947e-08,2.21800480825054e-07,6.55121608721291e-08,"5578/4586/154/5579/952/476/6548/4842/155/3708/4025/153/3710/279/801/3783/4069/3778/478/362/1131/808/805/6558/482/107/481/147/480/486/3709/477/483/276/146/2977",36,"XYT"
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","76/1346","278/8859",0.273381294964029,1.79932012785017,5.73136239239351,8.80581013424841e-08,2.21800480825054e-07,6.55121608721291e-08,"5290/7124/6390/3569/6389/3553/5594/581/836/5295/4851/3552/2932/5595/1432/857/1385/5599/5580/5293/842/5879/5291/3309/54205/5602/6647/1958/9451/1649/572/1536/5601/1386/317/468/2903/1535/1965/9377/2534/1457/6261/2904/653361/3708/859/1459/7416/713/779/2902/714/776/3710/775/5693/5715/116443/1327/727/10105/2906/774/3709/5690/90550/7384/1340/116444/1329/1345/1346/1351/1350/1349",76,"XYT"
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","28/1346","66/8859",0.424242424242424,2.79224638660003,6.18564252661017,8.99050431232212e-08,2.24762607808053e-07,6.63870703345074e-08,"7124/3569/3458/6774/7040/3586/3553/6772/4790/3558/3565/3725/50943/5970/3552/3605/7099/7097/4087/4088/3596/7042/3567/64127/4772/6775/6095/6097",28,"XYT"
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","58/1346","193/8859",0.300518134715026,1.97792730716227,5.81379292389414,9.41398464799296e-08,2.33606285709455e-07,6.8999185724081e-08,"5290/207/2475/6714/5604/4790/5594/5894/5295/5970/5595/7099/1432/7097/5605/5293/60/3065/5578/5879/9734/5291/4353/3146/6850/1991/7450/9759/3066/8841/3690/718/834/3689/10013/6403/3683/5579/1536/51284/1535/51311/653361/7416/1378/10014/71/10533/51564/2243/83933/55869/566/727/2244/10105/79885/2811",58,"XYT"
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","29/1346","70/8859",0.414285714285714,2.72671407344513,6.13879866464212,9.94936105443829e-08,2.4507617303212e-07,7.23869921917337e-08,"5290/3845/207/4233/1026/7040/3091/7422/5604/5594/5894/5781/5295/3725/3082/1387/5595/6513/5605/5293/5879/5291/7039/7042/54583/572/112398/112399/1398",29,"XYT"
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","26/1346","60/8859",0.433333333333333,2.85208023774146,6.09259679310998,1.54909350386747e-07,3.76048060721451e-07,1.11071540323068e-07,"5290/3845/207/7422/6714/5604/5594/5894/3791/5295/5743/5747/5595/1432/5605/5293/5578/842/5879/5291/3315/4846/572/5579/8877/5321",26,"XYT"
"Organismal Systems","Nervous system","hsa04730","Long-term depression","26/1346","60/8859",0.433333333333333,2.85208023774146,6.09259679310998,1.54909350386747e-07,3.76048060721451e-07,1.11071540323068e-07,"3845/5604/5594/3479/5894/3480/5595/5605/5578/4067/1392/5579/2892/5515/6261/4842/5321/2911/3708/2890/773/3710/5516/3709/2891/2977",26,"XYT"
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","34/1346","91/8859",0.373626373626374,2.45910553042797,5.92162365539204,1.65963869398291e-07,3.99984865096601e-07,1.18141641222563e-07,"5578/50940/8622/5144/5579/5141/409/3762/2561/4988/10846/27115/773/2550/2563/5139/2556/5138/134/107/5143/5137/1812/774/5142/5140/5136/5151/5150/2558/3763/5153/55879/2560",34,"XYT"
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","40/1346","116/8859",0.344827586206897,2.2695598708818,5.82553231115946,1.76578751664507e-07,4.22527727197213e-07,1.24800019973411e-07,"5290/3845/207/596/5604/5594/5295/5294/3717/5595/1385/5293/5578/2353/5291/43/5579/468/2534/100134444/3708/818/773/779/776/3710/775/3759/1139/1131/107/814/815/1136/774/3709/3768/816/3763/89832",40,"XYT"
