"identifier","score","Gene"
"8BQ3",1,"SRC"
"2CUD",0.999603126234255,"SRC"
"2JYQ",0.976972899970236,"SRC"
"1K9A",0.970441753252005,"SRC"
"2OTX",0.969691456379851,"SRC"
"3QLF",0.961075044170769,"SRC"
"1U5E",0.959105362315845,"SRC"
"3QLG",0.957605826359123,"SRC"
"3OF0",0.952012571073155,"SRC"
"3U51",0.952012571073155,"SRC"
"1BKL",0.948093630800561,"SRC"
"1QWE",0.948093630800561,"SRC"
"1QWF",0.948093630800561,"SRC"
"1SKJ",0.948093630800561,"SRC"
"1U5G",0.946207107323617,"SRC"
"3EL7",0.944655658406864,"SRC"
"3EL8",0.941766026824517,"SRC"
"3U4W",0.941766026824517,"SRC"
"4U5J",0.941766026824517,"SRC"
"6WIW",0.941766026824517,"SRC"
"6L8L",0.939303171849311,"SRC"
"6XVM",0.939303171849311,"SRC"
"1U5F",0.937993386712007,"SRC"
"1NZL",0.934544999178994,"SRC"
"1NZV",0.934544999178994,"SRC"
